"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","should navigate and interact with elements","chromium","Mon Nov 24 11:59:38 UTC 2025","failed","Mon Nov 24 11:59:38 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","113","should validate response schema","chromium","Mon Nov 24 11:59:38 UTC 2025","passed","Mon Nov 24 11:59:38 UTC 2025","API Tests","","",""
"","5","should open example website and check title","chromium","Mon Nov 24 11:59:39 UTC 2025","failed","Mon Nov 24 11:59:39 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","4","should take a screenshot","chromium","Mon Nov 24 11:59:39 UTC 2025","failed","Mon Nov 24 11:59:39 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","1","should navigate to login page","chromium","Mon Nov 24 11:59:39 UTC 2025","skipped","Mon Nov 24 11:59:39 UTC 2025","Example Test Suite","","",""
"","0","should have correct page title","chromium","Mon Nov 24 11:59:39 UTC 2025","skipped","Mon Nov 24 11:59:39 UTC 2025","Example Test Suite","","",""
"","1","should display error on invalid login","chromium","Mon Nov 24 11:59:39 UTC 2025","skipped","Mon Nov 24 11:59:39 UTC 2025","Example Test Suite","","",""
"","267","should perform POST request","chromium","Mon Nov 24 11:59:37 UTC 2025","passed","Mon Nov 24 11:59:38 UTC 2025","API Tests","","",""
"","0","should successfully login with valid credentials","chromium","Mon Nov 24 11:59:39 UTC 2025","skipped","Mon Nov 24 11:59:39 UTC 2025","Example Test Suite","","",""
"","120","should perform GET request","chromium","Mon Nov 24 11:59:38 UTC 2025","passed","Mon Nov 24 11:59:38 UTC 2025","API Tests","","",""
